x,y,r
348, 2385, 0.39904344223381105
1679, 2405, 5.398159629775228
665, 2385, 1.692997943949301
777, 2384, 3.9098112747064477
762, 2385, 2.849740182592135
818, 2382, 0.892288262810312
1157, 2382, 0.7980868844676221
1695, 2380, 1.9137451194361292
2338, 2379, 0.5643326479831003
1507, 2381, 1.0557697104618329
787, 2382, 3.9098112747064477
1092, 2377, 0.39904344223381105
593, 2376, 0.6911635163761372
2298, 2376, 0.7980868844676221
1648, 2399, 2.326803115618832
1209, 2374, 1.1286652959662007
2079, 2372, 0.39904344223381105
2336, 2373, 0.5643326479831003
2062, 2373, 0.9774528186766119
1620, 2373, 0.39904344223381105
1028, 2392, 0.39904344223381105
965, 2391, 0.5643326479831003
1163, 2371, 0.5643326479831003
421, 2374, 2.905080110058907
1192, 2370, 1.1286652959662007
822, 2371, 0.6911635163761372
587, 2370, 0.9774528186766119
2325, 2368, 0.39904344223381105
2294, 2370, 0.39904344223381105
2023, 2373, 4.334721319438823
941, 2374, 1.0557697104618329
2236, 2367, 0.39904344223381105
735, 2369, 1.3823270327522743
2298, 2367, 0.5643326479831003
1085, 2367, 0.39904344223381105
1034, 2368, 1.1286652959662007
2101, 2366, 0.5643326479831003
1165, 2367, 0.6911635163761372
924, 2368, 0.39904344223381105
632, 2368, 1.8286467796121775
606, 2367, 0.892288262810312
2315, 2365, 0.7980868844676221
1076, 2367, 0.892288262810312
611, 2364, 0.6911635163761372
595, 2363, 0.39904344223381105
2331, 2362, 0.39904344223381105
2126, 2362, 0.39904344223381105
613, 2362, 0.5643326479831003
2233, 2363, 0.9774528186766119
2173, 2363, 0.9774528186766119
1151, 2363, 4.166135847291729
1071, 2361, 0.7980868844676221
430, 2363, 1.9137451194361292
2146, 2360, 0.9774528186766119
599, 2361, 0.892288262810312
2201, 2359, 0.6911635163761372
2138, 2359, 1.1286652959662007
2119, 2358, 0.39904344223381105
1082, 2360, 0.6911635163761372
1074, 2358, 0.39904344223381105
2324, 2358, 0.39904344223381105
2316, 2357, 0.39904344223381105
2127, 2358, 0.7980868844676221
1619, 2357, 0.39904344223381105
297, 2358, 0.39904344223381105
1987, 2359, 0.6911635163761372
493, 2359, 3.3623998102659405
414, 2357, 0.7980868844676221
255, 2357, 0.6911635163761372
2321, 2356, 0.5643326479831003
2231, 2357, 0.6911635163761372
2193, 2357, 0.5643326479831003
2093, 2357, 1.1286652959662007
2082, 2355, 0.39904344223381105
2009, 2358, 0.5643326479831003
1125, 2375, 19.8441378980594
803, 2357, 0.6911635163761372
